n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
4,16,7,x,normal,0.05,0.05,0,1,0.0,1,1,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.1,0,12,0.0,1,1,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.15,0,112,0.0,1,1,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.2,3,592,0.005067567567567568,0.3333333333333333,0.33333333333333337,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.25,33,2097,0.015736766809728183,0.22727272727272727,0.48484848484848486,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.3,120,5597,0.021440057173485797,0.12916666666666668,0.4,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.35,334,12232,0.027305428384565074,0.09730538922155689,0.39520958083832336,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.39999999999999997,771,22699,0.033966254020000884,0.10181582360570687,0.38132295719844356,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.44999999999999996,1462,36751,0.039781230442709044,0.11662106703146374,0.3912448700410397,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.49999999999999994,2322,52701,0.04405988501166961,0.11670973298880276,0.39577950043066323,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.5499999999999999,3148,68444,0.045993805154578925,0.11181702668360864,0.38977128335451083,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.6,3803,81500,0.04666257668711656,0.11188535366815672,0.3865369445174862,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.65,4232,90796,0.04660998281862637,0.11389413988657845,0.38657844990548207,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.7,4441,96084,0.04621997418925107,0.11292501688808827,0.3854987615401937,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.75,4506,98682,0.04566182282483128,0.11440301819795828,0.3865956502441189,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.7999999999999999,4526,99681,0.04540484144420702,0.11389748121961997,0.3866548828988069,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.85,4527,99952,0.0452917400352169,0.11387232162580076,0.38656947205654957,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.9,4527,99996,0.0452718108724349,0.11387232162580076,0.38656947205654957,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,0.95,4527,99999,0.045270452704527044,0.11387232162580076,0.38656947205654957,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.05,1.0,4527,100000,0.04527,0.11387232162580076,0.38656947205654957,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.7230176329612732
4,16,7,x,normal,0.025,0.05,0,0,0.0,0.0,0.0,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.1,0,4,0.0,1,1,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.15,2,65,0.03076923076923077,0.5,0.5,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.2,17,378,0.04497354497354497,0.058823529411764705,0.23529411764705888,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.25,77,1495,0.05150501672240803,0.09090909090909091,0.23376623376623373,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.3,310,4581,0.06767081423270029,0.06774193548387097,0.18387096774193545,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.35,947,10686,0.08862062511697548,0.04382259767687434,0.1626187961985216,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.39999999999999997,2183,21217,0.10288919262855258,0.03893724232707284,0.16307833256985804,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.44999999999999996,4048,35903,0.11274823830877642,0.038290513833992096,0.15884387351778662,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
4,16,7,x,normal,0.025,0.49999999999999994,6319,52822,0.11962818522585286,0.0371103022630163,0.15983541699636017,438017,1.6709022521972656,3394.826444264967,227.0356158260256,101910287.79731871,0.6619682642092576,0.721125602722168
