n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,20,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0022422780002671
3,x,2,0.01,m1,10000000,0.9976274,0.0,,8.019025940947492e-07,1,0.0,,0.9976266,0.0,,0,1,20,20,16,1.0,0.0,9976274,0.0,16,0,0,0.1006148350002149,0.0179197649997604
3,x,2,0.01,normal,10000000,0.9966092,0.0,,5.518712851536992e-07,1,0.0,,0.99660865,0.0,,0,1,24,24,24,1.0,0.0,9966092,0.0,11,0,0,1.151777716999959,0.5560099420001734
3,x,2,0.05,m1,10000000,0.9883354,0.0,,1.6593557207401454e-05,1,0.0,,0.988319,0.0,,0,1,20,20,16,1.0,0.0,9883354,0.0,328,0,0,0.3167589580000367,0.03710880299991
3,x,2,0.05,normal,10000000,0.9832069,0.0,,1.3323747016014636e-05,1,0.0,,0.9831938,0.0,,0,1,24,24,24,1.0,0.0,9832069,0.0,262,0,0,1.9322553670001523,0.9244593649998478
3,x,2,0.1,m1,128100000,0.9744419254653129,0.00018908565772697393,0.0033167386793503365,4.6835974939412237e-05,1182,1.2434876966996633e-06,2.181193322919954e-05,0.9743962549069374,0.00018854887085421014,0.0033073229372741503,0,1,20,20,16,1.0,0.0,124851097,23.0,11990,0,0,0.526664144999927,34.384279115940956
3,x,2,0.1,normal,128000000,0.9653760441998307,0.00033715400819188466,0.005911493338428276,4.6828080486083516e-05,1181,1.5993363183670496e-06,2.8041980110621705e-05,0.9653307690093141,0.00033650291988100944,0.005900077474701463,0,1,24,24,24,1.0,0.0,123539841,39.0,11408,0,0,1.5109203179999895,227.3192984099548
3,x,2,0.3,m1,118000000,0.9251716610169491,0.0005402312673940694,0.009468139518457269,0.00041844617788892223,1180,7.964581484665913e-06,0.00013958793808195306,0.9247837669491525,0.0005357757671436052,0.009390052038997948,0,1,20,20,16,1.0,0.0,109170256,417.0,90709,0,0,0.0,65.923645555973
3,x,2,0.3,normal,118000000,0.8997168389830509,0.0009478196681567894,0.016611568781893998,0.00041231446261204096,1180,1.1759681312373384e-05,0.00020610118310113973,0.8993441864406779,0.0009422634702600287,0.01651419038109826,0,1,24,24,24,1.0,0.0,106166587,573.0,86800,0,0,0.0,374.23418589192437
3,x,2,0.5,m1,128000000,0.8784461546147333,0.0008568804005734079,0.015024121489715629,0.0011644402766053075,1181,2.1699562110397335e-05,0.00038046949982993594,0.8774198415749365,0.0008445068195960603,0.014807169177885294,0,1,20,20,16,1.0,0.0,112545874,2205.0,266333,0,0,1.6563447519999954,95.93446828997861
3,x,2,0.5,normal,128000000,0.8386335911092295,0.0014721212627696858,0.02581145359917773,0.001148403088677508,1181,3.207892501302532e-05,0.0005624561681334444,0.8376633038103303,0.0014572762291019475,0.02555116804568185,0,1,24,24,24,1.0,0.0,107396258,2478.0,245596,0,0,12.489613328000132,481.2775731839781
3,x,2,0.8,m1,118000000,0.8127098983050847,0.001276709251422068,0.02237571582126085,0.0029678051003791794,1180,5.354535553563979e-05,0.0009384404927584931,0.8102852754237287,0.0012467037779991383,0.02184983732101027,0,1,20,20,16,1.0,0.0,95899768,7146.0,557919,0,0,0.0,152.7763180771762
3,x,2,0.8,normal,118100000,0.7546347925486876,0.0021274737408125714,0.037302083145744194,0.002937021323741402,1181,8.08612816167965e-05,0.0014177821292351792,0.752391566469094,0.0020908748420647586,0.036660375970730054,0,1,24,24,24,1.0,0.0,89122369,8481.0,512888,0,0,0.0,608.3398639129446
3,x,2,1.0,m1,128000000,0.7716464732430144,0.0015216542359924076,0.02667994050463969,0.004622569732325149,1181,8.319193817755558e-05,0.001458646720485271,0.7680558012277731,0.0014755619213857294,0.025871780423104947,0,1,20,20,16,1.0,0.0,98975960,14911.0,918456,0,0,4.033951320000028,190.9324713669857
3,x,2,1.0,normal,128100000,0.703454769035533,0.002487378011830571,0.04363092876095539,0.00458321852749011,1182,0.00012579652760700408,0.002206588346560737,0.700182897461929,0.0024332103724065118,0.04268077787692433,0,1,24,24,24,1.0,0.0,89893392,16262.0,793658,0,0,35.57918789500002,735.530280125055
3,x,3,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,0,12,12,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0027728559998649
3,x,3,0.01,m1,10000000,0.9985596,0.0,,2.158108539540354e-05,1,0.0,,0.99853805,0.0,,1,0,12,12,8,1.0,0.0,9985596,0.0,431,0,0,0.0606126889999814,0.0154859340000257
3,x,3,0.01,normal,10000000,0.9983975,0.0,,1.9781700174529683e-05,1,0.0,,0.99837775,0.0,,1,0,16,16,16,1.0,0.0,9983975,0.0,395,0,0,0.9584676819999912,0.4287191609998899
