n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,2,0.5,m1,na,val,210000,0.3210857142857143,67428,0.0,0.0,21,0.0,0.007822787772484525,0.018290059751523122,0.0,0.0,0.0,0.0,0.0,0.0,0.3210857142857143,0.007822787772484525,0.018290059751523122,0,3,144,144,128,1.0,0.0,67428,0.0,0,0,0,0,155.71025388997077
5,x,2,0.5,normal,na,val,210000,0.28605238095238095,60071,0.0,0.0,21,0.0,0.00774546223568642,0.018109268871150462,0.0,0.0,0.0,0.0,0.0,0.0,0.28605238095238095,0.00774546223568642,0.018109268871150462,0,3,160,160,160,1.0,0.0,60071,0.0,0,0,0,0,160.15769346804154
5,x,3,0.5,m1,na,val,210000,0.4865333333333333,102172,0.0,0.0,21,0.0,0.014571612078894285,0.03406914048421729,0.0,0.0,0.0,0.0,0.0,0.0,0.4865333333333333,0.014571612078894285,0.03406914048421729,1,2,112,112,96,1.0,0.0,102172,0.0,0,0,0,0,191.8850773239974
5,x,3,0.5,normal,na,val,210000,0.45285238095238095,95099,0.0,0.0,21,0.0,0.014569084003845647,0.034063229721322946,0.0,0.0,0.0,0.0,0.0,0.0,0.45285238095238095,0.014569084003845647,0.034063229721322946,1,2,128,128,128,1.0,0.0,95099,0.0,0,0,0,0,216.0685836769917
5,x,4,0.5,m1,na,val,210000,0.29843333333333333,62671,7.72284262391301e-06,0.0,21,1.544568524782602e-05,0.007403056209731517,0.017308706864850792,1.51367715428695e-05,3.5390510904312744e-05,0.0,0.0,3.0273543085739e-05,7.078102180862549e-05,0.2984309523809524,0.007402448129579228,0.017307285143765862,0,3,144,112,128,1.0,0.0,62671,0.0,1,0,0,0,172.2599055469982
5,x,4,0.5,normal,na,val,210000,0.27538095238095234,57830,0.0,0.0,21,0.0,0.010588990592959166,0.024757577002760562,0.0,0.0,0.0,0.0,0.0,0.0,0.27538095238095234,0.010588990592959166,0.024757577002760562,0,3,160,128,160,1.0,0.0,57830,0.0,0,0,0,0,190.87325036800758
5,x,5,0.5,m1,na,val,210000,0.6718809523809524,141095,0.0,0.0,21,0.0,0.017589349009493722,0.0411247567658171,0.0,0.0,0.0,0.0,0.0,0.0,0.6718809523809524,0.017589349009493722,0.0411247567658171,2,1,80,80,64,1.0,0.0,141095,0.0,0,0,0,0,210.68490294898947
5,x,5,0.5,normal,na,val,210000,0.6325095238095239,132827,0.0,0.0,21,0.0,0.00728194239044623,0.01702553684210588,0.0,0.0,0.0,0.0,0.0,0.0,0.6325095238095239,0.00728194239044623,0.01702553684210588,2,1,96,96,96,1.0,0.0,132827,0.0,0,0,0,0,228.9562485679853
5,x,6,0.5,m1,na,val,210000,0.29023809523809524,60950,8.601706578585191e-06,0.0,21,1.7203413157170383e-05,0.007642665410560496,0.017868924875058277,1.6859344894026976e-05,3.941797150216625e-05,0.0,0.0,3.371868978805395e-05,7.88359430043325e-05,0.29023571428571426,0.007643470921860916,0.01787080819980691,0,3,144,112,128,1.0,0.0,60950,0.0,1,0,0,0,157.4260316959917
5,x,6,0.5,normal,na,val,210000,0.26563333333333333,55783,0.0,0.0,21,0.0,0.008897924412156154,0.02080378170750052,0.0,0.0,0.0,0.0,0.0,0.0,0.26563333333333333,0.008897924412156154,0.02080378170750052,0,3,160,128,160,1.0,0.0,55783,0.0,0,0,0,0,171.424572661992
5,x,7,0.5,m1,na,val,210000,0.4771714285714286,100206,5.240925337777638e-06,0.0,21,1.0481850675555276e-05,0.014073909705550905,0.032905488035541164,1.027221366204417e-05,2.401693707197803e-05,0.0,0.0,2.054442732408834e-05,4.803387414395606e-05,0.4771690476190476,0.014074653669313184,0.032907227459140626,1,2,112,80,96,1.0,0.0,100206,0.0,1,0,0,0,183.09040351099975
