n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
3,x,2,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,20,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0029173819984862
3,x,3,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,0,12,12,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0025587050004105
3,x,4,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.011574637999729
3,x,5,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,2,-1,4,4,0,1.0,0.0,100,0.0,0,0,0,0.0,0.0028557699988596
3,x,6,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.013047701000687
3,x,7,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,0,12,4,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0126453289994969
3,x,8,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0123206570006004
3,z,2,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,0,12,12,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0131842209993919
3,z,3,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0133388480007852
3,z,4,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,2,-1,4,4,0,1.0,0.0,100,0.0,0,0,0,0.0,0.0032675489983375
3,z,5,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,12,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0111506140001438
3,z,6,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,1,0,12,4,8,1.0,0.0,100,0.0,0,0,0,0.0,0.0033077759999287
3,z,7,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0020633200001611
3,z,8,0.0,m2,100,1.0,0.0,,0.0,1,0.0,,1.0,0.0,,0,1,20,-4,16,1.0,0.0,100,0.0,0,0,0,0.0,0.0001806780001061
4,x,2,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0,2,56,56,48,1.0,0.0,200,0.0,0,0,0,0.0,0.0458126669982447
4,x,2,0.0001,m1,769900000,0.9882341709504685,1.1768644343016871e-05,0.00016410834582187883,0.0,747,0.0,0.0,0.9882341709504685,1.1768644343016871e-05,0.00016410834582187883,0,2,56,56,48,1.0,0.0,760843612,0.0,0,0,0,2.047767397947609,1639.8004616312746
