n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
3,x,2,"['x', 'x', 'x']",1,normal,0,10000000,6309445,35139,66506,0,0.6309445,0.00556926956332926,20.64617742600967,-2.8808671030274127
3,x,3,"['z', 'x', 'x']",1,normal,0,10000000,8152572,104408,185448,0,0.8152572,0.012806755953826632,11.163443495024694,0.9053945839696098
3,x,4,"['x', 'z', 'x']",1,normal,0,10000000,6622618,983005,1613424,0,0.6622618,0.14843148132656903,54.136091293999925,-22.97727401999873
3,x,5,"['z', 'z', 'x']",1,normal,0,10000000,10000000,111228,205165,0,1.0,0.011122799999999988,0.8644858360057697,0.5929038239992224
3,x,6,"['x', 'x', 'z']",1,normal,0,10000000,6595603,757890,1323006,0,0.6595603,0.11490837153176137,58.500335256016115,-10.931177520018537
3,x,7,"['z', 'x', 'z']",1,normal,0,10000000,8624060,918964,1641159,0,0.862406,0.10655816402019469,17.45122923600138,1.039327119011432
3,z,2,"['z', 'x', 'x']",1,normal,0,10000000,8225121,744900,1355201,0,0.8225121,0.09056401723451846,17.66003426501993,0.9953569789940957
3,z,3,"['x', 'z', 'x']",1,normal,0,10000000,6620212,1001908,1733015,0,0.6620212,0.15134077277283564,95.57953544499469,-61.33096015499905
3,z,4,"['z', 'z', 'x']",1,normal,0,10000000,10000000,68561,128572,0,1.0,0.006856100000000032,0.3219933350046631,0.08435309297055937
3,z,5,"['x', 'x', 'z']",1,normal,0,10000000,6597120,747022,1288122,0,0.659712,0.11323456296080714,37.83580687499489,8.920249797025463
3,z,6,"['z', 'x', 'z']",1,normal,0,10000000,8661404,114708,201052,0,0.8661404,0.013243580371034569,3.79362768898136,0.6410094260063488
3,z,7,"['x', 'z', 'z']",1,normal,0,10000000,6925698,41536,78773,0,0.6925698,0.00599737383870913,40.134871169982944,-18.65134998798021
