n,lstate,i,meas_type,p_error,sim_type,total_meta_shots,comp_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,9,"['z', 'z', 'z', 'x']",1,m1,0,init,1000000,1000000,5,10,0,1.0,5.000000000032756e-06,0,1.2471017909701914
4,x,9,"['z', 'z', 'z', 'x']",0.8,m1,0,init,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,0,1.702922770055011
4,x,5,"['z', 'z', 'x', 'x']",1,m1,0,init,1000000,806237,10,19,0,0.806237,1.2403300766350434e-05,0,7.243829507962801
4,x,9,"['z', 'z', 'z', 'x']",0.5,m1,0,init,1000000,1000000,2,3,0,1.0,1.999999999946489e-06,0,1.7691511560697109
4,x,3,"['z', 'x', 'x', 'x']",0.5,m1,0,init,1000000,813818,0,0,0,0.813818,0.0,0,8.014016913017258
4,x,5,"['z', 'z', 'x', 'x']",0.8,m1,0,init,1000000,883109,5,8,0,0.883109,5.661815245860957e-06,0,8.38625406299252
4,x,5,"['z', 'z', 'x', 'x']",0.5,m1,0,init,1000000,870577,2,4,0,0.870577,2.2973269452331024e-06,0,5.30769380799029
4,x,2,"['x', 'x', 'x', 'x']",0.3,m1,0,init,1000000,814068,0,0,0,0.814068,0.0,0,5.889908619923517
4,x,2,"['x', 'x', 'x', 'x']",0.5,m1,0,init,1000000,712702,0,1,0,0.712702,0.0,0,20.84685772994999
4,x,9,"['z', 'z', 'z', 'x']",0.3,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,1.2934640030143782
4,x,2,"['x', 'x', 'x', 'x']",0.8,m1,0,init,1000000,592735,2,5,0,0.592735,3.3741891402039315e-06,0,26.7730140669737
4,x,3,"['z', 'x', 'x', 'x']",0.3,m1,0,init,1000000,898040,0,1,0,0.89804,0.0,0,5.677173726027831
4,x,5,"['z', 'z', 'x', 'x']",0.3,m1,0,init,1000000,947319,0,0,0,0.947319,0.0,0,2.3429721769643947
4,x,2,"['x', 'x', 'x', 'x']",0.1,m1,0,init,1000000,924771,0,0,0,0.924771,0.0,0,2.7471580479759723
4,x,3,"['z', 'x', 'x', 'x']",0.8,m1,0,init,1000000,720440,1,2,0,0.72044,1.3880406418698144e-06,0,25.940269291051663
4,x,9,"['z', 'z', 'z', 'x']",0.1,m1,0,init,1000000,1000000,0,0,0,1.0,0.0,0,0.3723846640205011
4,x,3,"['z', 'x', 'x', 'x']",1,m1,0,init,1000000,700329,1,2,0,0.700329,1.4279003154316072e-06,0,24.393888083053753
4,x,5,"['z', 'z', 'x', 'x']",0.1,m1,0,init,1000000,981078,0,0,0,0.981078,0.0,0,0.9939397840062156
4,x,3,"['z', 'x', 'x', 'x']",0.1,m1,0,init,1000000,965499,0,0,0,0.965499,0.0,0,1.504338493105024
4,x,2,"['x', 'x', 'x', 'x']",1,m1,0,init,1000000,460120,3,6,0,0.46012,6.5200382508567856e-06,0,36.118632168043405
